source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BusinessLine'}","KS Badri Narayanan, Madhu Balaji, Team BL","Q1 Results Today Live: Reliance Industries, JSW Steel, Havells, Oberoi Realty, Tata Tech to announce Q1 results, Wipro, Tech Mahindra, Jio, ITC Hotels, CEAT, Polycab, BHEL shares in focus","Q1 Results Today, 17th July 2026 Live Updates: Find all the latest Q1 results 2026 updates of Reliance Industries, JSW Steel, Federal Bank, Havells, Oberoi Realty, RBL Bank, Poonawalla Fincorp, Tata Technologies, Central Bank of India, Jayaswal Neco Industrie…",https://www.thehindubusinessline.com/markets/q1-results-today-live-updates-reliance-industries-jsw-steel-tata-tech-turtlemint-havells-poonawalla-navkar-wipro-jio-financial-tech-mahindra-bhel-itc-results-17-july-2026/article71229272.ece,https://bl-i.thgim.com/public/incoming/fdhm2d/article71229269.ece/alternates/LANDSCAPE_1200/IMG_PO12_Planning_2_1_T8F0RPRU.jpg,2026-07-17 03:47:18+00:00,"Business people using pen,tablet,notebook are planning a marketing plan to improve the quality of their sales in the future.
 | Photo Credit: 
 Jirapong Manustrong
Q1 Results Today, 17th July 2026… [+1611 chars]"
"{'id': None, 'name': 'Wnd.com'}",RealClearWire,America’s continuing reliance on critical Chinese materials,"U.S.' chief rival continues to control chokepoints in supply chains that provide urgent military assets, key technologies, and important medicines",https://www.wnd.com/2026/06/americas-continuing-reliance-critical-chinese-materials/,https://www.wnd.com/wp-content/uploads/2026/05/donald-trump-xi-jinping-flags-communism-communists-ccp-1200x630.jpg,2026-06-27 18:08:19+00:00,"President Donald J. Trump participates in a welcome ceremony with President Xi Jinping of the People’s Republic of China, Thursday, May 14, 2026, at the Great Hall of the People in Beijing, China. (O… [+12594 chars]"
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for July 03, 2026: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-july-03/article71174357.ece,https://bl-i.thgim.com/public/incoming/zgpwn7/article71173514.ece/alternates/LANDSCAPE_1200/PO06_Chart_2.jpg,2026-07-02 14:40:44+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2403 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",Unknown,These 3 charts show where Trump's new tariffs could have the biggest impact,"These three charts break down which sectors are in the crosshairs, which provinces will be the hardest hit and how the tariffs will be felt on both sides of the border.",https://www.cbc.ca/news/canada/charts-trump-tariffs-9.7279519,"https://i.cbc.ca/ais/bf5ff9a3-d5c4-462d-be0a-70bdcc3ed921,1784737187387/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C549%2C6500%2C3656%29%3BResize%3D620",2026-07-23 08:00:00+00:00,U.S. President Donald Trumps latest tariff gambit is the most sweeping trade threat Canada has faced to date. With an unprecedented 50 per cent duty set to hit a wide swath of Canadian-made goods on … [+2993 chars]
"{'id': 'rt', 'name': 'RT'}",RT,No safety info exposed in India nuclear plant data breach – operator,NPCIL says the data breach linked to Kudankulam Nuclear Power Plant involved only common service facility documents and did not compromise nuclear safety or security systems,https://www.rt.com/india/643130-india-nuclear-data-breach/,https://mf.b37mrtl.ru/files/2026.07/article/6a58c35c20302720cd292619.jpg,2026-07-16 11:47:09+00:00,"The operator of India’s largest nuclear power plant has denied that any nuclear safety or security-related information was exposed in a recently reported data breach at the facility.
The leaked data… [+2819 chars]"
"{'id': None, 'name': 'Geeky Gadgets'}",Roland Hutchinson,Apple Changes M-Series Silicon Roadmap: What It Means for the MacBook Ultra,"The MacBook Ultra, Apple’s latest addition to its laptop lineup, has generated significant buzz with its promise of innovative features and a sleek, modern design. Positioned as a premium device, it aims to redefine the boundaries of portable computing. Howev…",https://www.geeky-gadgets.com/macbook-ultra-first-gen-concerns/,https://www.geeky-gadgets.com/wp-content/uploads/2026/07/macbook-ultra-design.jpg,2026-07-03 13:00:56+00:00,"The MacBook Ultra, Apples latest addition to its laptop lineup, has generated significant buzz with its promise of innovative features and a sleek, modern design. Positioned as a premium device, it a… [+6662 chars]"
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,Who profits from Africa’s gold?,"African governments seek greater control over gold, but much of its value continues to flow abroad.",https://www.aljazeera.com/economy/2026/6/27/who-profits-from-africas-gold,https://www.aljazeera.com/wp-content/uploads/2024/01/32BK2DE-highres-1705257613.jpg?resize=1920%2C1440,2026-06-27 07:11:30+00:00,"Johannesburg, South Africa Mansa Musa, the 14th-century emperor of the Malian Empire, often comes to mind whenever African gold enters the conversation. Renowned for his immense wealth, he is often d… [+9274 chars]"
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}","Stephen Quillen, Sarah Shamim",Why have half a million Russians gone bankrupt amid Ukraine war?,"European intelligence report warns of strain on Russia's banks, but experts say a full-blown crisis is unlikely",https://www.aljazeera.com/economy/2026/7/8/why-have-half-a-million-russians-gone-bankrupt-amid-ukraine-war,https://www.aljazeera.com/wp-content/uploads/2026/07/reuters_6a4de55d-1783489885.jpg?resize=1920%2C1440,2026-07-08 08:41:00+00:00,"Half a million Russians declared bankruptcy last year as the countrys banking institutions bear the brunt of the cost of the war in Ukraine, a European intelligence report says this week.
As the war… [+8228 chars]"
"{'id': None, 'name': 'BusinessLine'}",Reuters,"India identifies $51 bln in critical imports for domestic manufacturing push, sources say","India targets $51 billion in critical imports for domestic manufacturing to reduce reliance on overseas suppliers, sources reveal.",https://www.thehindubusinessline.com/economy/india-identifies-51-bln-in-critical-imports-for-domestic-manufacturing-push-sources-say/article71229076.ece,https://bl-i.thgim.com/public/incoming/85i74u/article71229108.ece/alternates/LANDSCAPE_1200/BL04_Think_digital_factory.jpg,2026-07-16 08:24:34+00:00,"India is seeking to push domestic manufacturing across a pool of items currently worth
$51 billion in imports, three government sources said, as Prime
Minister Narendra Modi seeks to reduce the cou… [+1509 chars]"
"{'id': None, 'name': 'Livemint'}",mint,Will Meta's cloud debut heat up the Ambani-Adani rivalry? Here’s what’s going on in the data arena,"Data moves made by both leaders signal fierce competition ahead. With one partnering with Google and the other with Meta, this contest will be neck and neck. Here's what India stands to win.",https://www.livemint.com/opinion/online-views/meta-cloud-services-ambani-adani-rivalry-data-centres-ai-artificial-intelligence-google-11783413725843.html,https://www.livemint.com/lm-img/img/2026/07/07/1600x900/logo/FILES-BRAZIL-CHINA-META-0_1773127023685_1773127033669_1783430594995_371105fc-d232-4eb8-9f21-c68acbaa7ede.jpg,2026-07-08 09:30:50+00:00,"But those plans collide with Ambanis ambitions. If digital real estate is an obvious focus of expansion for Adanis empire, AI for individual and enterprise customers is equally crucial for the Ambani… [+3602 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,"Will Sensex, Nifty extend gains on Monday? Q1 earnings, global tech selloff among 6 factors to steer D-St this week","Dalal Street ended the week on a strong note, with the Sensex and Nifty gaining over 1% on Friday. Investors will track six key market triggers this week, including the peak of the Q1 earnings season, the escalating Iran-US conflict, surging crude oil prices,…",https://economictimes.indiatimes.com/markets/stocks/news/will-sensex-nifty-extend-gains-on-monday-q1-earnings-global-tech-selloff-among-6-factors-to-steer-d-st-this-week/articleshow/132489722.cms,"https://img.etimg.com/thumb/msid-132489722,width-1200,height-630,imgsize-168352,overlay-etmarkets/articleshow.jpg",2026-07-19 04:07:40+00:00,"Dalal Street closed the week on a high, with the benchmark Sensex and Nifty climbing more than 1% on Friday. Analysts expect a host of domestic and global cues to steer market sentiment this week.For… [+6445 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,Reliance Industries gets Sebi warning over employee trades during UPSI period,"Sebi issued an administrative warning to Reliance Industries after finding two employees and a relative traded while possessing unpublished price-sensitive information. The regulator flagged compliance lapses, but imposed no financial or operational restricti…",https://economictimes.indiatimes.com/markets/stocks/news/reliance-industries-gets-sebi-warning-over-employee-trades-during-upsi-period/articleshow/132216528.cms,"https://img.etimg.com/thumb/msid-132216521,width-1200,height-630,imgsize-34218,overlay-etmarkets/articleshow.jpg",2026-07-06 12:14:34+00:00,Reliance Industries has received an administrative warning from Sebi after the regulator found that two employees and one immediate relative of an employee had traded in the companys shares while in … [+2484 chars]
"{'id': None, 'name': 'BusinessLine'}",M  Ramesh,"Solar self-reliance may cost India ₹30,000 cr this year","India's solar self-reliance initiative may cost ₹30,000 crore this year due to reduced reliance on cheaper imports.",https://www.thehindubusinessline.com/specials/clean-tech/solar-self-reliance-may-cost-india-30000-cr-this-year/article71186687.ece,https://bl-i.thgim.com/public/incoming/hrkpd/article71186688.ece/alternates/LANDSCAPE_1200/BL0607_Clean_Lead.jpg,2026-07-05 17:32:03+00:00,"Indias push for solar self-reliance could add nearly 30,000 crore to the cost of solar installations this year, as developers switch from cheaper Chinese cells to domestic products under the governme… [+4022 chars]"
"{'id': None, 'name': 'Help Net Security'}",Industry News,Socure rolls out Remote Verifier for higher-risk identity checks,"Socure has launched Remote Verifier in RiskOS, a new identity verification tool that helps organizations verify identities requiring additional review while reducing manual effort. Socure’s AI-powered document verification solution instantly verifies more tha…",https://www.helpnetsecurity.com/2026/07/15/socure-rolls-out-remote-verifier-for-higher-risk-identity-checks/,https://img.helpnetsecurity.com/wp-content/uploads/2024/11/28150559/hns-large_logo.webp,2026-07-15 13:51:39+00:00,"Socure has launched Remote Verifier in RiskOS, a new identity verification tool that helps organizations verify identities requiring additional review while reducing manual effort.
Socures AI-powere… [+3196 chars]"
"{'id': None, 'name': 'Forbes'}","Dan Eberhart, Contributor, 
 Dan Eberhart, Contributor
 https://www.forbes.com/sites/daneberhart/",China Is Weaponizing Fertilizer Against American Farmers,"China is driving up fertilizer prices by restricting exports and buying U.S. sulfur, threatening American farmers, food security and grocery prices.",https://www.forbes.com/sites/daneberhart/2026/07/09/china-is-weaponizing-fertilizer-against-american-farmers/,https://imageio.forbes.com/specials-images/imageserve/6a4f75b6ad9ce2ea0fe38c1d/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2026-07-09 10:27:10+00:00,Dock workers load sacks of fertilizer onto a barge at the Shanghai port in June. China has recently banned exports of fertilizer to protect its domestic market. (Photo credit should read ZOU QING/AFP… [+4980 chars]
"{'id': None, 'name': 'Nakedcapitalism.com'}",Haig Hovaness,Coffee Break: Armed Madhouse – Peace Power and Trust Engineering,"War Power has long served civilization as the primary institution for managing consequential international conflict. But as the destructive costs of modern warfare continue to rise and advances in communications, sensing, verification, and artificial intellig…",https://www.nakedcapitalism.com/2026/06/coffee-break-armed-madhouse-peace-power-and-trust-engineering.html,https://www.nakedcapitalism.com/wp-content/uploads/2026/06/Roulette-wheel-with-nuclear-symbol.png,2026-06-30 18:00:31+00:00,"In the previous Armed Madhouse article, I argued that War Power has evolved into a self-reinforcing institutional ecosystem whose incentives increasingly favor preparations and actions carrying unacc… [+30379 chars]"
"{'id': None, 'name': 'Geeky Gadgets'}",Julian Horsey,1.5TB Mac Studio Enables Advanced Local AI Architecture,"Apple’s new Mac Studio, equipped with 1.5TB of unified memory, introduces a significant leap in localized AI and data processing capabilities. According to Kiraa, its unified memory architecture connects the CPU, GPU and neural engine, allowing advanced AI wo…",https://www.geeky-gadgets.com/5tb-mac-studio-enterprise-ai/,https://www.geeky-gadgets.com/wp-content/uploads/2026/07/mac-studio-ai.jpg,2026-07-20 11:13:00+00:00,"Apples new Mac Studio, equipped with 1.5TB of unified memory, introduces a significant leap in localized AI and data processing capabilities. According to Kiraa, its unified memory architecture conne… [+6056 chars]"
"{'id': None, 'name': 'Geeky Gadgets'}",Julian Horsey,Tencent Releases Hy3 as a 295B Mid-Tier Alternative AI Model,"Tencent’s latest AI model, Hy3, introduces a noteworthy mid-tier option in the competitive landscape of generative language models. With its 295-billion-parameter architecture and a focus on secure, localized deployments, Hy3 is designed to meet the needs of …",https://www.geeky-gadgets.com/tencent-hy3-local-ai-model/,https://www.geeky-gadgets.com/wp-content/uploads/2026/07/tencent-hy3-model-e1783674336589.jpg,2026-07-10 10:15:00+00:00,"Tencent’s latest AI model, Hy3, introduces a noteworthy mid-tier option in the competitive landscape of generative language models. With its 295-billion-parameter architecture and a focus on secure, … [+5940 chars]"
"{'id': 'rt', 'name': 'RT'}",RT,US minerals push hits Ebola roadblock in DR Congo – Reuters,The Ebola outbreak in DR Congo has reportedly disrupted minerals talks as the US seeks greater cobalt and copper access amid competition with China,https://www.rt.com/africa/643165-us-minerals-push-hits-ebola-roadblock-drcongo/,https://mf.b37mrtl.ru/files/2026.07/article/6a59fdc685f54017b4751de1.jpg,2026-07-17 10:09:28+00:00,"The worsening Ebola outbreak in the Democratic Republic of the Congo (DR Congo) has disrupted travel and delayed negotiations linked to a US-backed critical minerals partnership, Reuters reported on … [+2932 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Surendra Singh,"Rs 70,000 cr investments proposed for def corridors in UP, TN; Rs 10,000 crore already invested: Rajnath",Defence Minister Rajnath Singh highlighted India's strong defence preparedness and self-reliance. Advanced systems like Akash Teer and BrahMos were effectively used during Operation Sindoor. Defence industrial corridors in UP and Tamil Nadu are fostering indi…,https://timesofindia.indiatimes.com/india/rs-70000-cr-investments-proposed-for-def-corridors-in-up-tn-rs-10000-crore-already-invested-rajnath/articleshow/132486160.cms,"https://static.toiimg.com/thumb/msid-132486258,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",2026-07-18 19:00:03+00:00,"<ul><li>News</li>
<li>Rs 70,000 cr investments proposed for def corridors in UP, TN; Rs 10,000 crore already invested: Rajnath</li></ul>
Follow Us On Social Media
Copyright © 2026 Bennett, Coleman… [+81 chars]"
"{'id': None, 'name': 'Livemint'}",Dipali Banka,"Adani, Reliance, Birla, Vedanta, Jindal among suitors for Odisha's prized Karlapat bauxite block","Adani Enterprises, Reliance Industries, Hindalco Industries, Vedanta Aluminium, Naveen Jindal-backed Powercem and state-run Coal India have purchased tender documents for Odisha’s Karlapat bauxite block",https://www.livemint.com/companies/adani-reliance-birla-vedanta-jindal-suitors-for-odisha-karlapat-bauxite-block-aluminium-11784201324841.html,https://www.livemint.com/lm-img/img/2026/07/16/1600x900/logo/gc05e0e052156be2744_1784219514860_1784219515000_c9144825-2afc-4a65-92ac-5b3ea32f8198.jpg,2026-07-17 00:30:49+00:00,"Buying the tender document does not guarantee participation in the auction, but it does signal intent, said Dhruv Goel, chief executive officer of BigMint.
Mint could not independently ascertain whi… [+3261 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,Reliance Industries shares in focus as company gets Sebi's warning over alleged insider trading,Reliance Industries received a warning letter from market regulator Sebi. The letter cited alleged insider trading by two employees and a relative. Sebi investigated trades made while possessing unpublished price-sensitive information. The company stated it w…,https://economictimes.indiatimes.com/markets/stocks/news/reliance-industries-shares-in-focus-as-company-gets-sebis-warning-over-alleged-insider-trading/articleshow/132229731.cms,"https://img.etimg.com/thumb/msid-132229728,width-1200,height-630,imgsize-34218,overlay-etmarkets/articleshow.jpg",2026-07-07 03:52:25+00:00,Shares of Reliance Industries will remain in focus on Tuesday after Indias most valuable company received an administrative warning letter from market regulator Sebi over alleged insider trading by t… [+2603 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,"Stocks in news: Reliance Industries, Tata Tech, Wipro, Jio Financial, ITC, Maruti Suzuki","In today's trade, shares of Reliance Industries, Tata Tech, Wipro, Jio Financial, ITC, Maruti Suzuki among others will be in focus due to various news developments and first quarter results.",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-reliance-industries-tata-tech-wipro-jio-financial-itc-maruti-suzuki/articleshow/132450386.cms,"https://img.etimg.com/thumb/msid-132450382,width-1200,height-630,imgsize-605584,overlay-etmarkets/articleshow.jpg",2026-07-17 01:04:59+00:00,"Benchmark Nifty ended the session at 24,072 on Thursday, down marginally after a range-bound and volatile trading session. Analysts say the index continues to trade above its short-term moving averag… [+3017 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Veer Sharma,Reliance Industries share price target: What are brokerages saying after Q1 results?,"Reliance Industries shares gained after the conglomerate reported better-than-expected June quarter earnings, driven by robust growth across its energy, digital and refining businesses. Brokerages remained bullish on the stock, with several reiterating Buy ra…",https://economictimes.indiatimes.com/markets/stocks/news/reliance-industries-share-price-target-what-are-brokerages-saying-after-q1-results/articleshow/132505723.cms,"https://img.etimg.com/thumb/msid-132505719,width-1200,height-630,imgsize-34218,overlay-etmarkets/articleshow.jpg",2026-07-20 04:07:01+00:00,"Shares of Mukesh Ambani-led Reliance Industries rose over a per cent to Rs 1,342 on the BSE on Monday after the conglomerate reported June quarter earnings that topped street expectations on the back… [+5396 chars]"
"{'id': None, 'name': 'Geeky Gadgets'}",Julian Horsey,How DeepSeek Fits a 284B Parameter AI Model on a Single Laptop,"Running a 284-billion-parameter language model on a laptop might sound improbable, but DeepSeek’s V4 Flash makes it a reality. By combining a Mixture-of-Experts (MoE) architecture, advanced quantization techniques and the custom-built DwarfStar DS4 inference …",https://www.geeky-gadgets.com/deepseek-284b-laptop-inference/,https://www.geeky-gadgets.com/wp-content/uploads/2026/06/deepseek-v4-laptop.jpg,2026-07-01 06:15:00+00:00,"Running a 284-billion-parameter language model on a laptop might sound improbable, but DeepSeek’s V4 Flash makes it a reality. By combining a Mixture-of-Experts (MoE) architecture, advanced quantizat… [+7273 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",財訊快報,Meta印度168MW算力租賃落地，週一股價漲3%，AI基建與安全爭議並行,【財訊快報／陳孟朔】美國網際網路巨擘Meta Platforms(美股代碼META)加速把AI基礎設施轉化為全球算力布局。Meta與印度信實工業(Reliance Industries)宣布深化合作，將在印度古吉拉特邦賈姆訥格爾(Jamnagar)打造一座168兆瓦(MW)AI-ready數據中心，由信實負責興建，Meta承租使用，並保留後續擴充選項。Meta官方表示，這是雙方AI基礎設施合作的一部分，也標誌Meta在印度首個重大AI數據中心租賃布局。這座168MW數據中心將落在信實的賈姆訥格爾園區，外電...,https://tw.stock.yahoo.com/news/meta%E5%8D%B0%E5%BA%A6168mw%E7%AE%97%E5%8A%9B%E7%A7%9F%E8%B3%83%E8%90%BD%E5%9C%B0-%E9%80%B1-%E8%82%A1%E5%83%B9%E6%BC%B23-ai%E5%9F%BA%E5%BB%BA%E8%88%87%E5%AE%89%E5%85%A8%E7%88%AD%E8%AD%B0%E4%B8%A6%E8%A1%8C-004153011.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,2026-07-07 00:41:53+00:00,"Meta Platforms(META)AIMeta(Reliance Industries)(Jamnagar)168(MW)AI-readyMetaMetaAIMetaAI168MWMetaAIMeta
(Mukesh Ambani)Meta202057Jio PlatformsLlamaAI(Gautam Adani)AIAI
Meta AIMeta17.392.98%600.29Me… [+56 chars]"
"{'id': None, 'name': 'BusinessLine'}",Amit Vijay  Mohile & Vallari Sanzgiri,"RIL Q1 Revenue jumps 25 per cent to ₹3.11 lakh crore; EBITDA hits record ₹47,517 crore","Strong O2C recovery and rising digital services at Jio offset Retail margin pressure, helping Reliance beat EBITDA expectations",https://www.thehindubusinessline.com/companies/ril-q1-revenue-jumps-25-per-cent-to-311-lakh-crore-ebitda-hits-record-47517-crore/article71234738.ece,https://bl-i.thgim.com/public/incoming/14cy9u/article71235390.ece/alternates/LANDSCAPE_1200/2026-07-17T134156Z_66955650_RC2CM6AC6UHV_RTRMADP_3_RELIANCE-INDUSTRIES-RESULTS.JPG,2026-07-17 16:06:50+00:00,"Reliance Industries outperformed street expectations in Q1 FY27, with gross revenue rising 24.5 per cent year-on-year to 3.40 lakh crore and EBITDA increasing 10.7 per cent to a record 47,517 crore. … [+3766 chars]"
"{'id': 'financial-post', 'name': 'Financial Post'}",Bloomberg News,Ambani’s Reliance Tops Profit Estimate Despite Iran War Woes,"Reliance Industries Ltd.’s quarterly earnings beat analyst estimates, driven by strong refining margins and steady growth across its consumer technology units, unfazed by the Iran war-induced disruptions.",https://financialpost.com/pmn/business-pmn/ambanis-reliance-tops-profit-estimate-despite-iran-war-woes,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/07/776462893.jpg,2026-07-17 14:42:43+00:00,"(Bloomberg) Reliance Industries Ltd.s quarterly earnings beat analyst estimates, driven by strong refining margins and steady growth across its consumer technology units, unfazed by the Iran war-indu… [+5312 chars]"
"{'id': None, 'name': '24/7 Wall St.'}",Rich Duprey,A ‘Knife Fight’ Is Coming as AI Boom Creates a Natural Gas Crisis,"Investors poured money into chipmakers while AI quietly created a crisis in a far older industry, and one firm's 18-month research effort suggests the real b...",https://247wallst.com/investing/2026/07/23/a-knife-fight-is-coming-as-ai-boom-creates-a-natural-gas-crisis/,https://s.yimg.com/lo/mysterio/api/014F3C2B716C80A3A5ABB7B1D3D6FB647B30F767EA57A2CE5CF383509BDCB736/subgraphmysterio/resizefill_w1200_h674;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2F24_7_wall_st__718%2Fde5394cb1f0cb2ff01a9e866adbf39e2,2026-07-23 16:11:24+00:00,"Quick Read
<ul><li>Matthew Smith warns a structural U.S. natural gas shortage could emerge by 2028, as LNG export growth consumes most of the projected 20 Bcf/day production increase.
</li><li>Ener… [+5102 chars]"
"{'id': None, 'name': 'GlobeNewswire'}","Reliance Global Group, Inc.",Reliance Global Group Launches AI Agent for Secure Browser Automation in Regulated Insurance Back Offices,"Reliance's proprietary AI agent brings secure environments, policy-enforced action controls, human-in-the-loop review, and audit-grade records to regulated industries, beginning with insurance back offices Reliance's proprietary AI agent brings secure environ…",https://www.globenewswire.com/news-release/2026/07/14/3326838/0/en/Reliance-Global-Group-Launches-AI-Agent-for-Secure-Browser-Automation-in-Regulated-Insurance-Back-Offices.html,https://ml.globenewswire.com/Resource/Download/92baed0b-de89-4fd1-9987-e9b35719cb6b,2026-07-14 12:30:00+00:00,"LAKEWOOD, NJ, July 14, 2026 (GLOBE NEWSWIRE) -- Reliance Global Group, Inc. (NASDAQ: EZRA) today announced the launch of a proprietary AI agent built in-house for secure browser automation in regulat… [+8894 chars]"
"{'id': None, 'name': 'Globalsecurity.org'}",John Pike,INDIAN NAVY TO INDUCT INDIGENOUS STEALTH FRIGATE MAHENDRAGIRI INTO THE EASTERN FLEET,"The Indian Navy is all set to induct Mahendragiri (F38), the sixth Project 17A indigenous stealth frigate, into its Eastern Fleet at Visakhapatnam on 11 Jul 2026. The commissioning ceremony, to be presided over by the Hon'ble Raksha Mantri Shri Rajnath Singh,…",https://www.globalsecurity.org/wmd/library/news/india/2026/india-260710-india-pib02.htm,No Image,2026-07-10 12:00:00+00:00,"India - Press Information Bureau
Ministry of Defence
Posted On: 10 JUL 2026 7:29PM by PIB Delhi 
The Indian Navy is all set to induct Mahendragiri (F38), the sixth Project 17A indigenous stealth f… [+2789 chars]"
"{'id': None, 'name': 'Economictimes.com'}",IANS,"12 stocks that Goldman Sachs, Axis, InCred Equities are bullish on. Here’s the full list",Leading brokerage firms have identified twelve Indian stocks for investment. Goldman Sachs favors Reliance Industries and Adani Power among others. InCred Equities sees significant upside in APAR Industries and CONCOR. Axis Bank has also recommended Chalet Ho…,https://m.economictimes.com/markets/stocks/news/12-stocks-that-goldman-sachs-axis-incred-equities-are-bullish-on-heres-the-full-list/solid-bets/slideshow/132571220.cms,"https://img.etimg.com/thumb/msid-132571220,width-1200,height-900,overlay-etmarkets/slideshow.jpg",2026-07-23 03:17:48+00:00,"Jul 23, 2026, 08:54:01 AM IST
With the Nifty50 down 8% in 2026 amid the Iran war and elevated oil prices, these 12 large, mid and small cap stocks have emerged as picks from three leading brokerage … [+3135 chars]"
"{'id': None, 'name': 'CNA'}",Unknown,Austria urges Europe to host Anthropic following US curbs on AI access,"VIENNA, June 28 : Austria has proposed that the European Union should consider hosting Anthropic within the bloc's borders in order to counter efforts by the United States to block foreigners from using the AI company's most advanced models.In a letter to EU …",https://www.channelnewsasia.com/business/austria-urges-europe-host-anthropic-following-us-curbs-ai-access-6216396,"https://dam.mediacorp.sg/image/upload/s--HnwaK1Ai--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-06-28T132332Z_2_LYNXMPEM5R0DE_RTROPTP_3_ANTHROPIC-AI.JPG?itok=GZg-GYor",2026-06-28 12:58:55+00:00,"VIENNA, June 28 : Austria has proposed that the European Union should consider hosting Anthropic within the bloc's borders in order to counter efforts by the United States to block foreigners from us… [+1177 chars]"
"{'id': None, 'name': 'BusinessLine'}",Amit Vijay  Mohile,"RCPL Q1 FY27: Campa, Independence drive revenue past ₹8,600 crore; Australia launch in July","Reliance Consumer Products more than doubled Q1 revenue to ₹8,600 crore as Campa and Independence drove growth. Campa will launch in Australia this month.",https://www.thehindubusinessline.com/companies/rcpl-q1-fy27-campa-independence-drive-revenue-past-8600-crore-australia-launch-in-july/article71235823.ece,https://bl-i.thgim.com/public/incoming/tlele9/article71235820.ece/alternates/LANDSCAPE_1200/Mukesh%20Ambani.jpg,2026-07-18 02:01:00+00:00,"Reliance Consumer Products Ltd (RCPL), the fast-moving consumer goods arm of Reliance Industries, said quarterly gross revenue more than doubled year-on-year to about 8,600 crore in Q1 FY27, driven b… [+2987 chars]"
"{'id': None, 'name': 'Livemint'}",Kirti Jha,"Quant Small Cap Fund portfolio: Reliance Industries among 9 stock exits, 5 new additions in June","Quant Small Cap added five new stocks to its portfolio in June while making complete exits from nine companies, including Reliance Industries. The fund also sharply increased holdings in RBL Bank, Sona BLW Precision Forgings and Anand Rathi Wealth while trimm…",https://www.livemint.com/money/personal-finance/quant-small-cap-fund-portfolio-reliance-industries-among-9-stock-exits-5-new-additions-in-june-11783850278900.html,https://www.livemint.com/lm-img/img/2026/07/12/1600x900/logo/Gemini_Generated_Image_dq9wgtdq9wgtdq9w_1783850791211_1783850801196_0fd9497c-a0d8-4b31-b893-c9ef5527d351.png,2026-07-12 10:09:47+00:00,"Quant Small Cap Fund, the fourth-largest small cap mutual fund with assets under management (AUM) of 33,739 crore, added five new stocks to its portfolio in June while exiting nine companies, includi… [+4331 chars]"
"{'id': None, 'name': 'Naturalnews.com'}",Mike Adams,The Global War for Routes and Resources: Why the American Empire is Losing,"The Real Global Battle is About Routes and Resources We are told that wars are about democracy or freedom, but they’re actually about something far more primal: control over sea routes and natural resources. The world is not fighting over ideology; it is figh…",https://www.naturalnews.com/2026-07-27-the-global-war-for-routes-and-resources.html,https://www.naturalnews.com/wp-content/uploads/sites/91/2026/07/american-empire-routes-and-resources-geopolitical-chokepoints-3011-original.jpg,2026-07-27 06:00:00+00:00,"The Real Global Battle is About Routes and Resources
We are told that wars are about democracy or freedom, but they're actually about something far more primal: control over sea routes and natural r… [+8454 chars]"
